W,Название (рус.),Title (en),Titre (fr),Год,"Размер, см",Статус,Где хранится,Location,Страна,Country,Последняя известная продажа,Тип изображения,Изображение на сайте,Источник изображения,Wikidata,Ссылка на карточку
10,Охотничьи трофеи,Hunting Trophy,Trophée de chasse,1862,104 × 75,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w10.webp,https://commons.wikimedia.org/wiki/File:Trophies-of-the-hunt-Monet.jpg,https://www.wikidata.org/wiki/Q17495944,https://monet.1vasiliadi.com/#w10
10a,Натюрморт с куропатками,Still Life with Partridges,Nature morte aux perdrix,1862–63,54.5 × 73,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w10a.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_10a.png,,https://monet.1vasiliadi.com/#w10a
11,Голова собаки,Dog's Head,Tête de Chien,1862–63,32 × 24.5,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w11.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_11.png,https://www.wikidata.org/wiki/Q129305154,https://monet.1vasiliadi.com/#w11
12,Голова борзой,Greyhound's Head,Tête de Lévrier,1862–63,24 × 28,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w12.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_12.png,https://www.wikidata.org/wiki/Q130242041,https://monet.1vasiliadi.com/#w12
13,"Натюрморт с бутылкой, графином, хлебом и вином","Still Life with Bottle, Carafe, Bread and Wine","Nature morte: bouteille, carafe, pain, vin",1862–63,40.5 × 59.5,музей,"Национальная галерея искусства, Вашингтон","National Gallery of Art, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w13.webp,https://www.nga.gov/collection/art-object-page.164942.html,https://www.wikidata.org/wiki/Q20188632,https://monet.1vasiliadi.com/#w13
14,Натюрморт с мясом,Still Life with Meat,"Nature Morte, le quartier de viande",1862–63,24 × 32,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w14.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Stilleben_mit_Fleisch.jpg,https://www.wikidata.org/wiki/Q3873319,https://monet.1vasiliadi.com/#w14
15,Голова женщины,Head of a Woman,Tête de femme,1862–63,52 × 41.5,музей,"Музей Мармоттан-Моне, Париж","Musée Marmottan Monet, Paris",Франция,France,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w15.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_15.png,https://www.wikidata.org/wiki/Q105099617,https://monet.1vasiliadi.com/#w15
16,Ферма в Нормандии,Farmyard in Normandy,Cour de ferme en Normandie,1863,65 × 80,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w16.webp,https://commons.wikimedia.org/wiki/File:Cour_de_ferme_en_Normandie_-_Claude_Monet.jpg,https://www.wikidata.org/wiki/Q17491137,https://monet.1vasiliadi.com/#w16
17,Дорога в лесу,Road in a Forest,Route en forêt,1864,43 × 60,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w17.webp,https://commons.wikimedia.org/wiki/File:Monet%2C_Claude_-_Forest_Road.jpg,https://www.wikidata.org/wiki/Q139494923,https://monet.1vasiliadi.com/#w17
18,Сборщики хвороста на опушке леса,Woodgatherers at the Edge of the Forest,"Porteuses de bois, forêt de Fontainebleau",1863,61 × 91.5,музей,"Музей изящных искусств, Бостон","Museum of Fine Arts, Boston",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w18.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Woodgatherers_at_the_Edge_of_the_Forest%2C_about_1863.jpg,https://www.wikidata.org/wiki/Q20538911,https://monet.1vasiliadi.com/#w18
19,Дорога в Шайи,The Road to Chailly,Le Pavé de Chailly,1864,98 × 130,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w19.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_19.png,https://www.wikidata.org/wiki/Q139499059,https://monet.1vasiliadi.com/#w19
20,Весенние цветы,Spring Flowers,Fleurs de printemps,1864,116.5 × 91,музей,Художественный музей Кливленда,Cleveland Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w20.webp,https://commons.wikimedia.org/wiki/File:Spring_Flowers%2C_by_Claude_Monet%2C_Cleveland_Museum_of_Art%2C_1953.155.jpg,https://www.wikidata.org/wiki/Q50807788,https://monet.1vasiliadi.com/#w20
21,Цветы,Flowers,Fleurs,1864,128 × 96,утрачена / местонахождение неизвестно,,,,,,нет,,,,https://monet.1vasiliadi.com/#w21
22,Морской берег в Сент-Адрессе,Seashore at Sainte-Adresse,Bord de la mer à Sainte-Adresse,1864,40 × 73,музей,Институт искусств Миннеаполиса,Minneapolis Institute of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w22.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_The_Seashore_at_Sainte-Adresse_-_53.13_-_Minneapolis_Institute_of_Arts.jpg,https://www.wikidata.org/wiki/Q20890806,https://monet.1vasiliadi.com/#w22
22a,Этрета,Étretat,,1864,27 × 41,музей,"Ассоциация «Peindre en Normandie», Кан","Association ""Peindre en Normandie"", Caen",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w22a.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_%C3%89tretat%2C_(1864).jpg,https://www.wikidata.org/wiki/Q22205321,https://monet.1vasiliadi.com/#w22a
22b,Этрета. Порт-д’Аваль,Étretat Porte d'Aval,"Étretat, porte et falaise d'Aval",1864,28 × 49,частная коллекция,,,,,Rennes Enchères Bretagne 2022,цветная фотография,https://monet.1vasiliadi.com/img/1600/w22b.webp,https://commons.wikimedia.org/wiki/File:%C3%89tretat%2C_porte_et_falaise_d'Aval_(1864)_Claude_Monet_(W_22b).jpg,,https://monet.1vasiliadi.com/#w22b
22c,Вид Сент-Адресса,View of Sainte-Adresse,Vue de Sainte-Adresse,1864,28.5 × 40.5,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w22c.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_97.png,,https://monet.1vasiliadi.com/#w22c
23,Прибрежный пейзаж,Coastal landscape,Bord de mer,1864,53 × 80,музей,"Музей Ван Гога, Амстердам","Van Gogh Museum, Amsterdam",Нидерланды,Netherlands,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w23.webp,https://commons.wikimedia.org/wiki/File:Claude_Monnet.Coastal_landscape.jpg,https://www.wikidata.org/wiki/Q50807966,https://monet.1vasiliadi.com/#w23
24,Дорога у фермы Сен-Симеон,Road by Saint-Siméon Farm,La route devant la ferme Saint-Siméon,1864,59 × 80,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w24.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_La_Route_devant_la_ferme_Saint-Sim%C3%A9on.jpg,https://www.wikidata.org/wiki/Q95626741,https://monet.1vasiliadi.com/#w24
25,Дорога у фермы Сен-Симеон,Road by Saint-Simeon Farm,La Route devant la ferme Saint-Siméon,1864,37 × 22,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w25.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_25.png,,https://monet.1vasiliadi.com/#w25
26,Верфь малых судов близ Онфлёра,Small Boatyard near Honfleur,"Le Chantier de petits navires, près de Honfleur",1864,55 × 81,неизвестно,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w26.webp,https://commons.wikimedia.org/wiki/File:Le_Chantier_de_petits_navires%2C_pr%C3%A8s_de_Honfleur_(1867)_Claude_Monet_(W27).jpg,,https://monet.1vasiliadi.com/#w26
27,Лодочная верфь близ Онфлёра,Boatyard near Honfleur,,1864,57 × 81,частная коллекция,,,Германия,Germany,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w27.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_27.png,,https://monet.1vasiliadi.com/#w27
28,Дорога у фермы Сен-Симеон,Road by Saint-Siméon Farm,Route de la ferme Saint-Siméon,1864,54 × 73,частная коллекция,,,Япония,Japan,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w28.webp,https://commons.wikimedia.org/wiki/File:Monet_w28(1).jpg,,https://monet.1vasiliadi.com/#w28
29,Дорога у фермы Сен-Симеон,Road by Saint-Siméon Farm,La route de la ferme Saint-Siméon,1864,82 × 46,музей,"Национальный музей западного искусства, Токио","National Museum of Western Art, Tokyo",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w29.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Walk_(Road_of_the_Farm_Saint-Sim%C3%A9on)_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q19011937,https://monet.1vasiliadi.com/#w29
30,Дорога у фермы Сен-Симеон,Road by Saint-Siméon Farm,La Route de la ferme Saint-Siméon,1864,91 × 48,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w30.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_30.png,,https://monet.1vasiliadi.com/#w30
31,Лейтенантство в Онфлёре,La Lieutenance at Honfleur,La Lieutenance à Honfleur,1864,48.5 × 73,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w31.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_31.png,,https://monet.1vasiliadi.com/#w31
32,Лётенанс в Онфлёре,The Lieutenance at Honfleur,La Lieutenance de Honfleur,1864,53 × 73,частная коллекция,,,США,United States,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w32.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_32.png,,https://monet.1vasiliadi.com/#w32
33,Улица Бавол в Онфлёре,Le Rue de la Bavole at Honfleur,"Rue de la Bavole, Honfleur",1864,56 × 61,музей,"Музей изящных искусств, Бостон","Museum of Fine Arts, Boston",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w33.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Rue_de_la_Bavole%2C_Honfleur_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q20538866,https://monet.1vasiliadi.com/#w33
34,Улица Бавол в Онфлёре,Le Rue de la Bavole at Honfleur,La rue de la Bavolle à Honfleur,1864,58 × 63,музей,"Кунстхалле, Мангейм",Kunsthalle Mannheim,Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w34.webp,https://commons.wikimedia.org/wiki/File:Monet_-_La_Rue_de_la_Bavolle_%C3%A0_Honfleur%2C_1864.jpg,https://www.wikidata.org/wiki/Q68969174,https://monet.1vasiliadi.com/#w34
35,Часовня Нотр-Дам-де-Грас в Онфлёре,The Chapel of Notre-dame de Grace at Honfleur,"La Chapelle de Notre-Dame-de-Grâce, Honfleur",1864,52 × 68,частная коллекция,,,,,Sotheby's 2009,цветная фотография,https://monet.1vasiliadi.com/img/1600/w35.webp,https://commons.wikimedia.org/wiki/File:La_Chapelle_de_Notre-Dame-de-Gr%C3%A2ce%2C_Honfleur_(1864)_Claude_Monet_(W_35).jpg,https://www.wikidata.org/wiki/Q141400356,https://monet.1vasiliadi.com/#w35
36,Ферма близ Онфлёра,Farm near Honfleur,Ferme près de Honfleur,1864,38 × 46,частная коллекция,,,,,"Sotheby's, New York, 1993",скан из каталога,https://monet.1vasiliadi.com/img/1600/w36.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_36.png,,https://monet.1vasiliadi.com/#w36
37,"Лодку вытаскивают на берег, Онфлёр","Hauling a Boat Ashore, Honfleur","Halage d'un bateau, Honfleur",1864,55.5 × 82,музей,"Мемориальная художественная галерея, Рочестер","Memorial Art Gallery, Rochester",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w37.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Towing_a_Boat%2C_Honfleur%2C_1864.jpg,https://www.wikidata.org/wiki/Q89373155,https://monet.1vasiliadi.com/#w37
38,Маяк у Оспис,Lighthouse at the Hospice,Le Phare de Honfleur,1864,54 × 81,музей,"Кунстхаус, Цюрих","Kunsthaus Zürich, Zurich",Швейцария,Switzerland,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w38.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Le_phare_de_Honfleur%2C_1864.jpg,https://www.wikidata.org/wiki/Q124250874,https://monet.1vasiliadi.com/#w38
39,"Мыс Эв, Онфлёр","La Pointe de la Hève, Honfleur","La Pointe de la Hève, Sainte-Adresse",1864,41 × 73,музей,"Лондонская национальная галерея, Лондон","National Gallery, London",Великобритания,United Kingdom,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w39.webp,https://commons.wikimedia.org/wiki/File:Monet_Pointe_de_la_H%C3%A8ve.jpg,https://www.wikidata.org/wiki/Q24953802,https://monet.1vasiliadi.com/#w39
39a,Пляж в Сент-Адрессе,The Beach at Sainte-Adresse,La Plage de Sainte-Adresse,1864,30 × 69,музей,"Художественный музей префектуры Тотиги, Уцуномия","Tochigi Prefectural Museum of Fine Arts, Utsunomiya",Япония,Japan,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w39a.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Beach_of_Sainte-Adresse%2C_1864.jpg,https://www.wikidata.org/wiki/Q95920132,https://monet.1vasiliadi.com/#w39a
40,Лошади на мысе Ла-Эв,Horses at the Pointe de la Hève,Chevaux à la pointe de la Hève,1864,51.5 × 73,частная коллекция,,,США,United States,2013,цветная фотография,https://monet.1vasiliadi.com/img/1600/w40.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Chevaux_%C3%A0_la_pointe_de_la_H%C3%A8ve.jpg,https://www.wikidata.org/wiki/Q50807793,https://monet.1vasiliadi.com/#w40
41,Пляж в Онфлёре,The Beach at Honfleur,Le Bord de la mer à Honfleur,1864–66,60 × 81,музей,Музей искусств округа Лос-Анджелес,Los Angeles County Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w41.webp,https://commons.wikimedia.org/wiki/File:'The_Beach_at_Honfleur'_by_Claude_Monet%2C_LACMA.jpg,https://www.wikidata.org/wiki/Q20881340,https://monet.1vasiliadi.com/#w41
42,Портрет стоящего мужчины,Portrait of a Man Standing,Portrait d'homme debout,1864,45.5 × 32,частная коллекция,,,,,Christie's 2016,скан из каталога,https://monet.1vasiliadi.com/img/1600/w42.webp,https://commons.wikimedia.org/wiki/File:Monet_w_42.jpg,,https://monet.1vasiliadi.com/#w42
43,Доктор Лекланше,Dr. Leclenché,Portrait d'homme assis dit aussi : Dr Leclenché,1864,46 × 32.5,музей,"Метрополитен-музей, Нью-Йорк","Metropolitan Museum of Art, New York",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w43.webp,https://commons.wikimedia.org/wiki/File:Dr._Leclench%C3%A9_MET_DT1900.jpg,https://www.wikidata.org/wiki/Q19912122,https://monet.1vasiliadi.com/#w43
44,Мужчина с трубкой,Man with a Pipe,"L'Homme à la pipe, portrait présumé de Jongkind",1864,45 × 34,частная коллекция,,,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w44.webp,https://commons.wikimedia.org/wiki/File:L'Homme_%C3%A0_la_pipe%2C_portrait_pr%C3%A9sum%C3%A9_de_Jongking_(1864)_Claude_Monet_(W_44).jpg,,https://monet.1vasiliadi.com/#w44
45,"Портрет Адольфа Моне, отца художника","Portrait of Adolphe Monet, the Artist's Father","Portrait d'Adolphe Monet, père de l'artiste",1864,,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w53a.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_53a.png,,https://monet.1vasiliadi.com/#w45
46,"Портрет Леона Моне, брата художника","Portrait of Léon Monet, the Artist's Brother","Portrait de Léon Monet, frère de l'artiste",1864,,частная коллекция,,,,,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w297a.webp,https://commons.wikimedia.org/wiki/File:Portrait_de_L%C3%A9on_Monet%2C_1874%2C_Claude_Monet.jpg,,https://monet.1vasiliadi.com/#w46
47,Натюрморт с куропатками,Still Life with Partridges,Nature morte aux perdrix,1864,,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w10a.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_10a.png,,https://monet.1vasiliadi.com/#w47
48,Рыболовные снасти и морской пейзаж,"Fishing Gear, and Seascape","Ustensiles de pêche, et Marine",1864,,утрачена / местонахождение неизвестно,,,,,,нет,,,,https://monet.1vasiliadi.com/#w48
49,Торговцы рыбой в предместье,Fish Sellers in the Faubourg,Marchands de poisson dans le Faubourg,1864,,утрачена / местонахождение неизвестно,,,,,,нет,,,,https://monet.1vasiliadi.com/#w49
50,Повозка на заснеженной дороге в Онфлёре,A Cart on the Snowy Road at Honfleur,La Charrette. Route sous la neige à Honfleur,1865/1867,65 × 92,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w50.webp,https://commons.wikimedia.org/wiki/File:Monet%2C_A_Cart_on_the_Snowy_Road_at_Honfleur_(1865_or_1867).jpg,https://www.wikidata.org/wiki/Q17491886,https://monet.1vasiliadi.com/#w50
51,Устье Сены в Онфлёре,Mouth of the Seine at Honfleur,L'embouchure de la Seine à Honfleur,1865,90 × 150,музей,"Музей Нортона Саймона, Пасадина","Norton Simon Museum, Pasadena",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w51.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Mouth_of_the_Seine_-_1865.jpg,https://www.wikidata.org/wiki/Q50807964,https://monet.1vasiliadi.com/#w51
52,Мыс Ла-Эв в отлив,The Pointe de la Heve at Low Tide,La Pointe de la Hève à marée basse,1865,90 × 150,музей,"Художественный музей Кимбелла, Форт-Уэрт","Kimbell Art Museum, Fort Worth",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w52.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_La_Pointe_de_la_H%C3%A8ve_at_Low_Tide_-_Google_Art_Project.jpg,https://www.wikidata.org/wiki/Q28776277,https://monet.1vasiliadi.com/#w52
53,Портрет мужчины: Адольф Моне,Portrait of a Man: Adolphe Monet,Portrait d'homme : Adolphe Monet,1865,53 × 45,музей,"Художественный музей Циммерли, Нью-Брансуик","Zimmerli Art Museum, New Brunswick",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w53.webp,https://commons.wikimedia.org/wiki/File:Portrait_of_Claude-Adolphe_Monet%2C_the_Artist's_Father.jpg,https://www.wikidata.org/wiki/Q90911703,https://monet.1vasiliadi.com/#w53
53a,"Адольф Моне, отец художника","Adolphe Monet, Father of the Artist","Portrait d'Adolphe Monet, père de l'artiste",1865,46 × 38,частная коллекция,,,,,,скан из каталога,https://monet.1vasiliadi.com/img/1600/w53a.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wildenstein_1996%2C_53a.png,,https://monet.1vasiliadi.com/#w53a
54,Виктор Жакмон с зонтиком,Victor Jacquemont Holding a Parasol,Portrait de Victor Jacquemont au parasol,1865,105 × 61.5,музей,"Кунстхаус, Цюрих","Kunsthaus Zürich, Zurich",Швейцария,Switzerland,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w54.webp,https://commons.wikimedia.org/wiki/File:Monet_Jacquemont_Victor.jpg,https://www.wikidata.org/wiki/Q50807967,https://monet.1vasiliadi.com/#w54
55,Двор фермы в Шайи,Farmyard at Chailly,Cour de ferme à Chailly,1865,54 × 80,частная коллекция,,,,,,цветная фотография,https://commons.wikimedia.org/wiki/Special:FilePath/Cour%20de%20ferme%20%C3%A0%20Chailly%20(1865)%20Claude%20Monet%20(W%2055).jpg?width=1600,https://commons.wikimedia.org/wiki/File:Cour_de_ferme_%C3%A0_Chailly_(1865)_Claude_Monet_(W_55).jpg,,https://monet.1vasiliadi.com/#w55
55a,Стога в Шайи на восходе солнца,Haystacks at Chailly at Sunrise,"Meules près de Chailly, soleil levant",1865,30 × 60,музей,Художественный музей Сан-Диего,San Diego Museum of Art,США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w55a.webp,https://commons.wikimedia.org/wiki/File:Haystacks_at_Chailly_at_Sunrise%2C_1865%2C_oil_on_canvas%2C_11_7-8_x_23_3-4_inches_(30_x_60_cm)%2C_San_Diego_Museum_of_Art.jpg,https://www.wikidata.org/wiki/Q50808003,https://monet.1vasiliadi.com/#w55a
56,Дорога в Шайи,The Road to Chailly,Le Pavé de Chailly,1865,42 × 59,музей,"Музей Орсе, Париж","Musée d'Orsay, Paris",Франция,France,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w56.webp,https://commons.wikimedia.org/wiki/File:Monet_Le_Pave_de_Chailly_Musee_dOrsay.JPG,https://www.wikidata.org/wiki/Q17493132,https://monet.1vasiliadi.com/#w56
57,Дорога в Шайи в лесу Фонтенбло,Le Pavé de Chailly in the Fontainebleau Forest,Le Pavé de Chailly dans la forêt de Fontainebleau,1865,97 × 130,музей,"Ордрупгор, Копенгаген","Ordrupgaard, Copenhagen",Дания,Denmark,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w57.webp,https://commons.wikimedia.org/wiki/File:Le_Pav%C3%A9_de_Chailly_in_the_Forest_of_Fontainebleau_(Monet).jpg,https://www.wikidata.org/wiki/Q50434661,https://monet.1vasiliadi.com/#w57
58,Тропа в лесу,Path in the Forest,Chemin sous bois,1865,79 × 58,музей,"Собрание Рау для ЮНИСЕФ, Музей Арпа «Вокзал Роландсэк», Ремаген","Sammlung Rau fuer UNICEF, Arp Museum Bahnhof Rolandseck, Remagen",Германия,Germany,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w58.webp,https://commons.wikimedia.org/wiki/File:Wuppertal_Turmhof_2009_002.jpg,https://www.wikidata.org/wiki/Q78833093,https://monet.1vasiliadi.com/#w58
59,Лес Фонтенбло,Fontainebleau Forest,Forêt de Fontainebleau,1865,50 × 65,музей,Художественный музей Винтертура,Kunstmuseum Winterthur,Швейцария,Switzerland,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w59.webp,https://commons.wikimedia.org/wiki/File:Monet_-_Wald_von_Fontainbleau.jpeg,https://www.wikidata.org/wiki/Q50807667,https://monet.1vasiliadi.com/#w59
60,Дуб Бодмера,"The Bodmer Oak, Fontainebleau","Le Chêne de Bodmer, la route de Chailly",1865,97 × 130,музей,"Метрополитен-музей, Нью-Йорк","Metropolitan Museum of Art, New York",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w60.webp,https://commons.wikimedia.org/wiki/File:The_Bodmer_Oak%2C_Fontainebleau_Forest_MET_DT1560.jpg,https://www.wikidata.org/wiki/Q19905237,https://monet.1vasiliadi.com/#w60
60a,Дуб Бодмера,The Bodmer Oak,"Chêne au Bas-Bréau, le Bodmer",1865,54 × 40,частная коллекция,,,США,United States,Sotheby's 2008,цветная фотография,https://monet.1vasiliadi.com/img/1600/w60a.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet%2C_Un_ch%C3%AAne_au_Bas-Br%C3%A9au%2C_le_Bodmer.jpg,,https://monet.1vasiliadi.com/#w60a
61,Гуляющие (этюд к «Завтраку на траве»),The Strollers (study for Luncheon on the Grass),Bazille et Camille,1865,93.5 × 69.5,музей,"Национальная галерея искусства, Вашингтон","National Gallery of Art, Washington D.C.",США,United States,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w61.webp,https://www.nga.gov/collection/art-object-page.52185.html,https://www.wikidata.org/wiki/Q20188658,https://monet.1vasiliadi.com/#w61
62,Завтрак на траве (этюд к № 63),Luncheon on the Grass (study),Le Déjeuner sur l'herbe,1865,130 × 181,музей,"ГМИИ им. Пушкина, Москва","Pushkin Museum, Moscow",Россия,Russia,,цветная фотография,https://monet.1vasiliadi.com/img/1600/w62.webp,https://commons.wikimedia.org/wiki/File:Claude_Monet_-_Le_D%C3%A9jeuner_sur_l'herbe_(1866)_-_Pushkin_Museum_%D0%96-3307.jpg,https://www.wikidata.org/wiki/Q50434651,https://monet.1vasiliadi.com/#w62
